page,brand,model,category,size,storage,color,price,source,condition,date,article_number,n_of_reviews,rating,delivery_time
5,apple,iphone 15 pro max,Smartphone,6.7,1000 GB,white,1546.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203439.html,new,2024-04-07,2203439.0,2,5.0,
5,samsung,galaxy xcover 5 enterprise edition,Smartphone,5.3,64,schwarz,206.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-xcover-5-enterprise-edition-2060202.html,new,2024-04-07,2060202.0,18,3.3,4.0
5,samsung,galaxy s23+,Smartphone,6.6,256,green,779.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167371.html,new,2024-04-07,2167371.0,154,4.6,2.0
5,samsung,galaxy s23+,Smartphone,6.6,256,unknown,869.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167370.html,new,2024-04-07,2167370.0,154,4.6,2.0
5,apple,iphone se (2022),Smartphone,4.7,64,red,383.0,https://www.mediamarkt.ch/de/product/_apple-iphone-se-2022-2118899.html,new,2024-04-07,2118899.0,3,5.0,6.0
5,apple,iphone 13,Smartphone,6.1,256,green,629.0,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2118878.html,new,2024-04-07,2118878.0,1,5.0,4.0
5,apple,iphone 15 pro,Smartphone,6.1,512,black,1244.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203413.html,new,2024-04-07,2203413.0,4,4.3,7.0
5,samsung,galaxy s23,Smartphone,6.1,256,black,661.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167365.html,new,2024-04-07,2167365.0,273,4.4,2.0
5,samsung,galaxy s24,Smartphone,6.2,128,unknown,708.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220729.html,new,2024-04-07,2220729.0,274,4.4,2.0
5,samsung,galaxy s23,Smartphone,6.1,128,green,619.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167347.html,new,2024-04-07,2167347.0,270,4.4,2.0
5,samsung,galaxy s24 ultra,Smartphone,6.8,512,yellow,1399.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220736.html,new,2024-04-07,2220736.0,786,4.7,7.0
5,samsung,galaxy s24 ultra,Smartphone,6.8,512,titanium,1399.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220734.html,new,2024-04-07,2220734.0,786,4.7,
5,samsung,galaxy s24+,Smartphone,6.7,512,black,1149.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220715.html,new,2024-04-07,2220715.0,185,4.4,6.0
5,samsung,galaxy s24 ultra,Smartphone,6.8,1000 GB,titanium,1599.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220714.html,new,2024-04-07,2220714.0,786,4.7,
5,samsung,galaxy s24+,Smartphone,6.7,512,unknown,1149.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220716.html,new,2024-04-07,2220716.0,184,4.5,2.0
5,samsung,galaxy a35 5g,Smartphone,6.6,128,blue,359.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a35-5g-2237045.html,new,2024-04-07,2237045.0,0,0.0,4.0
5,samsung,galaxy s24 ultra,Smartphone,6.8,256,yellow,1169.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220740.html,new,2024-04-07,2220740.0,786,4.7,2.0
5,samsung,galaxy s24+,Smartphone,6.7,512,unknown,1149.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220717.html,new,2024-04-07,2220717.0,184,4.5,7.0
5,samsung,galaxy s24+,Smartphone,6.7,256,unknown,949.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220721.html,new,2024-04-07,2220721.0,184,4.5,7.0
5,samsung,galaxy a15 4g,Smartphone,6.5,128,yellow,169.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a15-4g-2221379.html,new,2024-04-07,2221379.0,0,0.0,4.0
5,apple,iphone 14 plus,Smartphone,6.7,256,purple,829.0,https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151047.html,new,2024-04-07,2151047.0,2,5.0,
5,apple,iphone 15 pro max,Smartphone,6.7,1000 GB,black,1556.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203435.html,new,2024-04-07,2203435.0,0,0.0,
5,apple,iphone 13,Smartphone,6.1,256,blue,629.0,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091358.html,new,2024-04-07,2091358.0,11,5.0,
6,apple,iphone 14,Smartphone,6.1,128,yellow,619.0,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2176808.html,new,2024-04-07,2176808.0,13,4.8,
6,inoi,note 13s,Smartphone,6.95,256,unknown,158.0,https://www.mediamarkt.ch/de/product/_inoi-note-13s-2190696.html,new,2024-04-07,2190696.0,0,0.0,2.0
6,samsung,galaxy s24,Smartphone,6.2,256,black,899.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220723.html,new,2024-04-07,2220723.0,274,4.4,4.0
6,xiaomi,redmi 12,Smartphone,6.79,128,black,144.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-12-2203274.html,new,2024-04-07,2203274.0,22,4.0,2.0
6,apple,iphone 15 pro max,Smartphone,6.7,1000 GB,titanium,1563.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203440.html,new,2024-04-07,2203440.0,0,0.0,2.0
6,apple,iphone se,Smartphone,4.7,128,unknown,430.0,https://www.mediamarkt.ch/de/product/_apple-iphone-se-2118903.html,new,2024-04-07,2118903.0,0,0.0,
6,apple,iphone 12,Smartphone,6.1,64,purple,479.0,https://www.mediamarkt.ch/de/product/_apple-iphone-12-2066506.html,new,2024-04-07,2066506.0,5,5.0,6.0
6,apple,iphone 15 plus,Smartphone,6.7,256,black,929.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-plus-2203393.html,new,2024-04-07,2203393.0,1,5.0,
6,samsung,galaxy s23,Smartphone,6.1,256,unknown,694.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167363.html,new,2024-04-07,2167363.0,272,4.4,6.0
6,emporia,supereasy,Smartphone,,,schwarz,209.0,https://www.mediamarkt.ch/de/product/_emporia-supereasy-2127635.html,new,2024-04-07,2127635.0,0,0.0,2.0
6,samsung,galaxy s24 ultra,Smartphone,6.8,256,titanium,1299.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220738.html,new,2024-04-07,2220738.0,786,4.7,7.0
6,samsung,galaxy a54 5g,Smartphone,6.4,256,white,439.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a54-5g-2177748.html,new,2024-04-07,2177748.0,308,4.4,2.0
6,samsung,galaxy a35 5g,Smartphone,6.6,256,unknown,419.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a35-5g-2242305.html,new,2024-04-07,2242305.0,1,5.0,10.0
6,samsung,galaxy z fold5,Smartphone,7.6,512,blue,1778.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-z-fold5-2193025.html,new,2024-04-07,2193025.0,49,4.3,10.0
6,xiaomi,redmi note 13 4g,Smartphone,6.67,256,black,222.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-4g-2220888.html,new,2024-04-07,2220888.0,0,0.0,6.0
6,one,plus nord ce 3 lite 5g,Smartphone,6.72,128,gray,313.0,https://www.mediamarkt.ch/de/product/_one-plus-nord-ce-3-lite-5g-2180208.html,new,2024-04-07,2180208.0,0,0.0,2.0
6,xiaomi,redmi 13c,Smartphone,6.74,128,blue,133.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-13c-2219839.html,new,2024-04-07,2219839.0,3,5.0,
6,xiaomi,redmi 13c,Smartphone,6.74,256,green,152.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-13c-2219847.html,new,2024-04-07,2219847.0,0,0.0,7.0
6,emporia,touchsmart.2,Smartphone,,,schwarz,118.0,https://www.mediamarkt.ch/de/product/_emporia-touchsmart-2-2110132.html,new,2024-04-07,2110132.0,7,2.6,2.0
6,samsung,galaxy a34 5g,Smartphone,6.6,256,silver,369.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a34-5g-2176866.html,new,2024-04-07,2176866.0,210,4.3,2.0
6,apple,iphone 14 plus,Smartphone,6.7,128,purple,749.0,https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151042.html,new,2024-04-07,2151042.0,6,5.0,2.0
6,xiaomi,13t,Smartphone,6.67,256,black,551.0,https://www.mediamarkt.ch/de/product/_xiaomi-13t-2203283.html,new,2024-04-07,2203283.0,8,4.5,7.0
6,samsung,galaxy s23 fe,Smartphone,6.4,256,unknown,620.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-fe-2216487.html,new,2024-04-07,2216487.0,2,3.0,2.0
6,apple,iphone 14 plus,Smartphone,6.7,512,unknown,1026.0,https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151050.html,new,2024-04-07,2151050.0,3,3.7,
